,小区,老人类别,服务,需求满足率,理论需求,有效需求
51,D,自理,紧急救助,0.0,53.85,0
52,D,半失能,助餐,1.0,2600.0,2600
53,D,半失能,日间照料,1.0,1820.0,1820
54,D,半失能,上门护理,1.0,780.0,780
55,D,半失能,康复理疗,0.5,520.0,260
56,D,半失能,助浴,0.0,260.0,0
57,D,半失能,紧急救助,1.0,130.0,130
58,D,失能,助餐,1.0,2244.0,2244
59,D,失能,日间照料,1.0,1836.0,1836
60,D,失能,上门护理,0.75,1224.0,918
61,D,失能,康复理疗,0.0,612.0,0
62,D,失能,助浴,0.0,408.0,0
63,D,失能,紧急救助,1.0,306.0,306
64,E,自理,助餐,1.0,7280.0,7280
65,E,自理,日间照料,1.0,4160.0,4160
66,E,自理,康复理疗,1.0,1040.0,1040
67,E,自理,紧急救助,0.0,78.0,0
68,E,半失能,助餐,1.0,3780.0,3780
69,E,半失能,日间照料,1.0,2646.0,2646
70,E,半失能,上门护理,1.0,1134.0,1134
71,E,半失能,康复理疗,1.0,756.0,756
72,E,半失能,助浴,1.0,378.0,378
73,E,半失能,紧急救助,1.0,189.0,189
74,E,失能,助餐,1.0,3102.0,3102
75,E,失能,日间照料,1.0,2538.0,2538
76,E,失能,上门护理,1.0,1692.0,1692
77,E,失能,康复理疗,0.5,846.0,423
78,E,失能,助浴,0.0,564.0,0
79,E,失能,紧急救助,1.0,423.0,423
80,F,自理,助餐,1.0,4438.0,4438
81,F,自理,日间照料,1.0,2536.0,2536
82,F,自理,康复理疗,1.0,634.0,634
83,F,自理,紧急救助,0.0,47.55,0
84,F,半失能,助餐,1.0,2280.0,2280
85,F,半失能,日间照料,1.0,1596.0,1596
86,F,半失能,上门护理,1.0,684.0,684
87,F,半失能,康复理疗,0.0,456.0,0
88,F,半失能,助浴,0.0,228.0,0
89,F,半失能,紧急救助,1.0,114.0,114
90,F,失能,助餐,1.0,1804.0,1804
91,F,失能,日间照料,1.0,1476.0,1476
92,F,失能,上门护理,0.5833333333333334,984.0,574
93,F,失能,康复理疗,0.0,492.0,0
94,F,失能,助浴,0.0,328.0,0
95,F,失能,紧急救助,1.0,246.0,246
96,G,自理,助餐,1.0,8036.0,8036
97,G,自理,日间照料,1.0,4592.0,4592
98,G,自理,康复理疗,1.0,1148.0,1148
99,G,自理,紧急救助,0.0,86.1,0
100,G,半失能,助餐,1.0,4160.0,4160
101,G,半失能,日间照料,1.0,2912.0,2912
102,G,半失能,上门护理,1.0,1248.0,1248
103,G,半失能,康复理疗,1.0,832.0,832
104,G,半失能,助浴,1.0,416.0,416
105,G,半失能,紧急救助,1.0,208.0,208
106,G,失能,助餐,1.0,3432.0,3432
107,G,失能,日间照料,1.0,2808.0,2808
108,G,失能,上门护理,1.0,1872.0,1872
109,G,失能,康复理疗,0.8333333333333334,936.0,780
110,G,失能,助浴,0.0,624.0,0
111,G,失能,紧急救助,1.0,468.0,468
112,H,自理,助餐,1.0,5306.0,5306
113,H,自理,日间照料,1.0,3032.0,3032
114,H,自理,康复理疗,1.0,758.0,758
115,H,自理,紧急救助,0.0,56.85,0
116,H,半失能,助餐,1.0,2760.0,2760
117,H,半失能,日间照料,1.0,1932.0,1932
118,H,半失能,上门护理,1.0,828.0,828
119,H,半失能,康复理疗,0.75,552.0,414
120,H,半失能,助浴,0.0,276.0,0
121,H,半失能,紧急救助,1.0,138.0,138
122,H,失能,助餐,1.0,2200.0,2200
123,H,失能,日间照料,1.0,1800.0,1800
124,H,失能,上门护理,0.8333333333333334,1200.0,1000
125,H,失能,康复理疗,0.0,600.0,0
126,H,失能,助浴,0.0,400.0,0
127,H,失能,紧急救助,1.0,300.0,300
128,I,自理,助餐,1.0,6846.0,6846
129,I,自理,日间照料,1.0,3912.0,3912
130,I,自理,康复理疗,1.0,978.0,978
131,I,自理,紧急救助,0.0,73.35,0
132,I,半失能,助餐,1.0,3580.0,3580
133,I,半失能,日间照料,1.0,2506.0,2506
134,I,半失能,上门护理,1.0,1074.0,1074
135,I,半失能,康复理疗,1.0,716.0,716
136,I,半失能,助浴,1.0,358.0,358
137,I,半失能,紧急救助,1.0,179.0,179
138,I,失能,助餐,1.0,2882.0,2882
139,I,失能,日间照料,1.0,2358.0,2358
140,I,失能,上门护理,1.0,1572.0,1572
141,I,失能,康复理疗,0.16666666666666666,786.0,131
142,I,失能,助浴,0.0,524.0,0
143,I,失能,紧急救助,1.0,393.0,393
144,J,自理,助餐,1.0,6160.0,6160
145,J,自理,日间照料,1.0,3520.0,3520
146,J,自理,康复理疗,1.0,880.0,880
147,J,自理,紧急救助,0.0,66.0,0
148,J,半失能,助餐,1.0,3160.0,3160
149,J,半失能,日间照料,1.0,2212.0,2212
150,J,半失能,上门护理,1.0,948.0,948
151,J,半失能,康复理疗,1.0,632.0,632
152,J,半失能,助浴,0.5,316.0,158
153,J,半失能,紧急救助,1.0,158.0,158
154,J,失能,助餐,1.0,2508.0,2508
155,J,失能,日间照料,1.0,2052.0,2052
156,J,失能,上门护理,1.0,1368.0,1368
157,J,失能,康复理疗,0.0,684.0,0
158,J,失能,助浴,0.0,456.0,0
159,J,失能,紧急救助,1.0,342.0,342
